,id_usuario,resgate,Ultima_compra,ultimas_compras,numero_ultimas_compras_x,data_impacto,IPT_x,ipt_campanha_x,delta,ipt_impacto_x,delta_resgate_x,IPT_y,ipt_impacto_y,delta_resgate_y,ipt_campanha_y,numero_ultimas_compras_y,delta_ipt,result_rel
451,9422388,2019-05-29T16:33:45.000-03:00,2019-05-24T15:41:50.000-03:00,"09/05/2019,20/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,7.5,5,-2.5,2,0,7.5,2,0,3,3,0.2666666666666667,0.4
452,9422388,2019-05-27T16:46:45.000-03:00,2019-05-24T15:41:50.000-03:00,"09/05/2019,20/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,7.5,3,-4.5,2,0,7.5,2,0,5,3,0.2666666666666667,0.6666666666666666
453,9422388,2019-05-27T16:46:45.000-03:00,2019-05-24T15:41:50.000-03:00,"09/05/2019,20/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,7.5,3,-4.5,2,0,7.5,2,0,3,3,0.2666666666666667,0.4
454,8830483,2019-05-30T16:55:43.000-03:00,2019-05-24T18:28:01.000-03:00,"26/04/2019,06/05/2019,10/05/2019,17/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,7.0,5,-2.0,2,3,7.0,2,3,5,5,0.2857142857142857,0.7142857142857143
455,59735,2019-05-28T22:13:35.000-03:00,2019-05-24T20:51:54.000-03:00,"30/03/2019,24/05/2019,10/05/2019,20/04/2019,03/04/2019,24/05/2019,17/05/2019,26/04/2019,05/04/2019,18/05/2019,27/04/2019,07/04/2019,19/05/2019,28/04/2019,12/04/2019,22/05/2019,30/04/2019,16/04/2019",18,2019-05-27 00:00:00-03:00,3.235294117647059,4,0.7647058823529411,2,1,3.235294117647059,2,1,4,18,0.6181818181818182,1.2363636363636363
456,7492792,2019-05-28T14:54:12.000-03:00,2019-05-24T14:52:38.000-03:00,"30/03/2019,15/05/2019,05/04/2019,24/05/2019,08/04/2019,10/04/2019,09/05/2019,13/05/2019",8,2019-05-27 00:00:00-03:00,7.857142857142857,4,-3.8571428571428568,2,1,7.857142857142857,2,1,4,8,0.2545454545454545,0.5090909090909091
457,8115330,2019-05-27T15:34:34.000-03:00,2019-05-24T15:48:47.000-03:00,"24/04/2019,03/05/2019,10/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,10.0,2,-8.0,2,0,10.0,2,0,2,4,0.19999999999999996,0.2
458,1431788,2019-05-30T15:42:46.000-03:00,2019-05-24T15:24:38.000-03:00,"10/04/2019,20/05/2019,17/04/2019,24/05/2019,19/04/2019,08/05/2019,11/05/2019,16/05/2019",8,2019-05-27 00:00:00-03:00,6.285714285714286,6,-0.2857142857142856,2,3,6.285714285714286,2,3,6,8,0.31818181818181823,0.9545454545454546
459,1588294,2019-05-30T17:01:16.000-03:00,2019-05-24T18:34:41.000-03:00,"04/04/2019,24/05/2019,04/05/2019,09/04/2019,10/05/2019,13/04/2019,15/05/2019,20/04/2019,18/05/2019,26/04/2019,22/05/2019,30/04/2019",12,2019-05-27 00:00:00-03:00,4.545454545454546,5,0.45454545454545414,2,3,4.545454545454546,2,3,5,12,0.43999999999999995,1.0999999999999999
460,25355,2019-05-28T18:48:56.000-03:00,2019-05-24T19:00:46.000-03:00,"09/04/2019,12/04/2019,29/04/2019,07/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,11.25,3,-8.25,2,1,11.25,2,1,3,5,0.1777777777777778,0.26666666666666666
461,9284936,2019-05-28T16:29:36.000-03:00,2019-05-27T17:30:45.000-03:00,"30/04/2019,01/05/2019,08/05/2019,10/05/2019,24/05/2019,27/05/2019",6,2019-05-27 00:00:00-03:00,6.0,0,-6.0,2,0,6.0,2,0,0,6,0.33333333333333337,0.0
462,9284936,2019-05-28T16:29:36.000-03:00,2019-05-27T17:30:45.000-03:00,"30/04/2019,01/05/2019,08/05/2019,10/05/2019,24/05/2019,27/05/2019",6,2019-05-27 00:00:00-03:00,6.0,0,-6.0,2,0,6.0,2,0,3,5,0.33333333333333337,0.5
463,9284936,2019-05-27T17:26:47.000-03:00,2019-05-24T16:23:47.000-03:00,"30/04/2019,01/05/2019,08/05/2019,10/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,6.0,3,-3.0,2,0,6.0,2,0,0,6,0.33333333333333337,0.0
464,9284936,2019-05-27T17:26:47.000-03:00,2019-05-24T16:23:47.000-03:00,"30/04/2019,01/05/2019,08/05/2019,10/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,6.0,3,-3.0,2,0,6.0,2,0,3,5,0.33333333333333337,0.5
465,8032595,2019-05-27T15:55:50.000-03:00,2019-05-24T15:59:26.000-03:00,"07/05/2019,10/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,8.5,2,-6.5,2,0,8.5,2,0,2,3,0.23529411764705888,0.23529411764705882
466,8955793,2019-05-28T15:02:08.000-03:00,2019-05-24T14:49:35.000-03:00,"05/04/2019,18/04/2019,08/05/2019,10/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,12.25,4,-8.25,2,1,12.25,2,1,4,5,0.16326530612244894,0.32653061224489793
